Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount,size_type,sell_through
WP-00001,Morgex Quilted Pants,SS25,102.99,Pants,S,542,56,Morgex,Women,Forest Green,0,alpha,0.094
WM-00001,Tribe Quilted Shirt,SS25,109.99,Shirt,XL,443,155,Tribe,Women,Forest Green,0,alpha,0.259
WL-00001,Box Logo Stretch Sweatshirt,FS24,121.99,Sweatshirt,S,59,85,Box Logo,Women,Grey Melange,20,alpha,0.59
S-00001,Morgex Print T-Shirt,FS24,39.99,T-Shirt,L,35,305,Morgex,Men,White Whisper,25,alpha,0.897
P-00001,Tribe Graphic Pants,SS25,118.99,Pants,XXL,63,58,Tribe,Men,Green Lichen,0,alpha,0.479
W\00001,Box Logo Quilted Shoes,FS24,115.99,Shoes,38,49,264,Box Logo,Women,Burgundy,15,numeric,0.843
WP-00002,Geographic Stripe Pants,SS25,148.99,Pants,S,144,172,Geographic,Women,Petit Four,0,alpha,0.544
P-00002,Patch Stripe Pants,SS25,129.99,Pants,XS,288,26,Patch,Men,White Whisper,0,alpha,0.083
\00001,Slate Shoes,FS24,147.99,Shoes,45,122,189,Slate,Men,Beige Sand,20,numeric,0.608
N-00001,Circular Heritage Shorts,FS24,81.99,Shorts,S,18,115,Circular,Men,Bright Red,20,alpha,0.865
W\00002,Trail Half-Zip Shoes,FS24,137.99,Shoes,39,118,401,Trail,Women,Pale Mint,25,numeric,0.773
GlovesBoxLogo-0001,Box Logo Gloves,SS25,106.99,Accessories,One Size,347,41,Box Logo,Men,Pale Mint,0,alpha,0.106
M-00001,Morgex Quilted Shirt,SS25,97.99,Shirt,XL,183,162,Morgex,Men,Stone Grey,0,alpha,0.47
WL-00002,Patch Heritage Sweatshirt,SS25,135.99,Sweatshirt,XL,53,6,Patch,Women,Grey Melange,0,alpha,0.102
M-00002,Morgex Shirt,SS25,94.99,Shirt,S,291,246,Morgex,Men,Forest Green,0,alpha,0.458
ToteBagGeographic-0001,Geographic Tote Bag,FS24,40.99,Accessories,One Size,48,532,Geographic,Men,Bright White,40,alpha,0.917
WM-00002,Tribe Heritage Shirt,FS24,131.99,Shirt,XXL,148,421,Tribe,Women,Navy,50,alpha,0.74
WPS-00001,Box Logo Polo,SS25,78.99,Polo,XL,67,45,Box Logo,Women,Bright Red,0,alpha,0.402
WS-00001,Box Logo Graphic T-Shirt,SS25,49.99,T-Shirt,XL,453,84,Box Logo,Women,Old Rose,0,alpha,0.156
S-00002,Rainforest T-Shirt,FS24,40.99,T-Shirt,S,145,336,Rainforest,Men,Forest Green,30,alpha,0.699
M-00003,Box Logo Stretch Shirt,SS25,135.99,Shirt,XS,125,26,Box Logo,Men,Pale Mint,0,alpha,0.172
WS-00002,Circular Print T-Shirt,FS24,62.99,T-Shirt,XS,60,80,Circular,Women,Grey Melange,20,alpha,0.571
SocksIconic-0001,Iconic Socks,SS25,71.99,Accessories,M,87,13,Iconic,Men,Forest Green,0,alpha,0.13
WS-00003,Rainforest Print T-Shirt,FS24,84.99,T-Shirt,XXL,207,331,Rainforest,Women,Navy,25,alpha,0.615
PS-00001,Box Logo Heritage Polo,SS25,101.99,Polo,XS,272,282,Box Logo,Men,Old Rose,0,alpha,0.509
WL-00003,Iconic Quilted Sweatshirt,SS25,102.99,Sweatshirt,XL,209,71,Iconic,Women,Grey Melange,0,alpha,0.254
BeltBoxLogo-0001,Box Logo Belt,SS25,72.99,Accessories,One Size,455,120,Box Logo,Men,Olive,0,alpha,0.209
PS-00002,Patch Graphic Polo,FS24,105.99,Polo,XXL,161,347,Patch,Men,Forest Green,20,alpha,0.683
WN-00001,Rainforest Logo Shorts,SS25,83.99,Shorts,XS,456,102,Rainforest,Women,Olive,0,alpha,0.183
ToteBagTribe-0001,Tribe Tote Bag,FS24,88.99,Accessories,One Size,260,321,Tribe,Men,Free Blue,15,alpha,0.552
WV-00001,Box Logo Swimwear,SS25,51.99,Swimwear,M,162,37,Box Logo,Women,Blue Marine,0,alpha,0.186
P-00003,Tribe Pants,FS24,95.99,Pants,M,48,425,Tribe,Men,Pale Mint,20,alpha,0.899
WS-00004,Geographic Stripe T-Shirt,FS24,69.99,T-Shirt,L,20,29,Geographic,Women,Burgundy,15,alpha,0.592
BeltGeographic-0001,Geographic Belt,SS25,66.99,Accessories,One Size,140,51,Geographic,Men,Petit Four,0,alpha,0.267
WS-00005,Box Logo Quilted T-Shirt,SS25,49.99,T-Shirt,XXL,112,33,Box Logo,Women,Free Blue,0,alpha,0.228
L-00001,Geographic Sweatshirt,SS25,146.99,Sweatshirt,S,130,93,Geographic,Men,Forest Green,0,alpha,0.417
M-00004,Tribe Stripe Shirt,SS25,97.99,Shirt,XXL,41,38,Tribe,Men,Khaki,0,alpha,0.481
PS-00003,Rainforest Polo,FS24,78.99,Polo,S,67,170,Rainforest,Men,Free Blue,30,alpha,0.717
WPS-00002,Morgex Polo,FS24,85.99,Polo,XL,13,145,Morgex,Women,Free Blue,25,alpha,0.918
PS-00004,Morgex Stretch Polo,SS25,91.99,Polo,XL,264,97,Morgex,Men,White Whisper,0,alpha,0.269
WScarfTribe-0001,Tribe Scarf,SS25,109.99,Accessories,One Size,28,13,Tribe,Women,Khaki,0,alpha,0.317
WP-00003,Morgex Graphic Pants,FS24,140.99,Pants,M,63,107,Morgex,Women,Stone Grey,25,alpha,0.629
WP-00004,Geographic Graphic Pants,FS24,127.99,Pants,XS,69,186,Geographic,Women,Olive,20,alpha,0.729
L-00002,Rainforest Sweatshirt,FS24,154.99,Sweatshirt,XL,42,84,Rainforest,Men,Yellow Sunshine,25,alpha,0.667
P-00004,Iconic Pants,FS24,107.99,Pants,S,30,57,Iconic,Men,Forest Green,15,alpha,0.655
L-00003,Iconic Stripe Sweatshirt,FS24,118.99,Sweatshirt,XL,154,392,Iconic,Men,Yellow Sunshine,40,alpha,0.718
S-00003,Iconic Print T-Shirt,SS25,85.99,T-Shirt,S,476,39,Iconic,Men,Snow White,0,alpha,0.076
PS-00005,Rainforest Stretch Polo,FS24,102.99,Polo,XL,95,398,Rainforest,Men,Bright White,25,alpha,0.807
