name,product_category,collection_family,sex,color,size,price,sell_through,predicted_tier,recommended_discount,discount_reason
Tribe Half-Zip Polo,Polo,Tribe,Men,Navy,S,108.99,0.05,dead_stock,50,Urgent clearance — 50% discount
Circular Graphic T-Shirt,T-Shirt,Circular,Men,Orange Tangerine,XXL,89.99,0.051,dead_stock,50,Urgent clearance — 50% discount
Geographic Print T-Shirt,T-Shirt,Geographic,Men,Beige Sand,L,58.99,0.051,dead_stock,50,Urgent clearance — 50% discount
Patch Half-Zip Shirt,Shirt,Patch,Women,Black Beauty,XXL,84.99,0.051,dead_stock,50,Urgent clearance — 50% discount
Rainforest Gloves,Accessories,Rainforest,Women,Black Beauty,One Size,67.99,0.051,dead_stock,50,Urgent clearance — 50% discount
Patch Logo Shirt,Shirt,Patch,Men,Black Beauty,M,105.99,0.051,dead_stock,50,Urgent clearance — 50% discount
Rainforest Stripe T-Shirt,T-Shirt,Rainforest,Men,Khaki,XL,38.99,0.052,dead_stock,50,Urgent clearance — 50% discount
Tribe Print T-Shirt,T-Shirt,Tribe,Men,Old Rose,XS,44.99,0.053,dead_stock,50,Urgent clearance — 50% discount
Circular Stretch T-Shirt,T-Shirt,Circular,Men,Black Beauty,XL,39.99,0.053,dead_stock,50,Urgent clearance — 50% discount
Circular Print T-Shirt,T-Shirt,Circular,Men,Snow White,M,56.99,0.054,dead_stock,50,Urgent clearance — 50% discount
Patch Quilted Pants,Pants,Patch,Women,Free Blue,S,102.99,0.054,dead_stock,50,Urgent clearance — 50% discount
Box Logo Heritage Swimwear,Swimwear,Box Logo,Men,Khaki,XXL,74.99,0.054,dead_stock,50,Urgent clearance — 50% discount
Patch Graphic Sweatshirt,Sweatshirt,Patch,Women,Caviar,XXL,151.99,0.054,dead_stock,50,Urgent clearance — 50% discount
Patch T-Shirt,T-Shirt,Patch,Men,Caviar,L,45.99,0.056,dead_stock,50,Urgent clearance — 50% discount
Cresta Logo Shoes,Shoes,Cresta,Women,Green Lichen,42,182.99,0.056,dead_stock,50,Urgent clearance — 50% discount
Wave Logo Swimwear,Swimwear,Wave,Women,Free Blue,M,72.99,0.056,dead_stock,50,Urgent clearance — 50% discount
Rainforest Quilted T-Shirt,T-Shirt,Rainforest,Men,Olive,S,78.99,0.058,dead_stock,50,Urgent clearance — 50% discount
Patch Stripe Shirt,Shirt,Patch,Women,Bright White,XL,120.99,0.058,dead_stock,50,Urgent clearance — 50% discount
Box Logo Stripe T-Shirt,T-Shirt,Box Logo,Men,Snow White,XS,72.99,0.059,dead_stock,50,Urgent clearance — 50% discount
Circular Sweatshirt,Sweatshirt,Circular,Women,Bright White,XS,167.99,0.06,dead_stock,50,Urgent clearance — 50% discount
Morgex Quilted T-Shirt,T-Shirt,Morgex,Men,Old Rose,XXL,63.99,0.06,dead_stock,50,Urgent clearance — 50% discount
Box Logo Swimwear,Swimwear,Box Logo,Men,Khaki,S,50.99,0.061,dead_stock,50,Urgent clearance — 50% discount
Circular Stretch Shorts,Shorts,Circular,Women,Pale Mint,XS,88.99,0.062,dead_stock,50,Urgent clearance — 50% discount
Morgex Stripe Pants,Pants,Morgex,Men,Pale Mint,L,112.99,0.063,dead_stock,50,Urgent clearance — 50% discount
Box Logo Shoes,Shoes,Box Logo,Women,Old Rose,41,101.99,0.063,dead_stock,50,Urgent clearance — 50% discount
Circular Half-Zip Polo,Polo,Circular,Men,Petit Four,XXL,80.99,0.063,dead_stock,50,Urgent clearance — 50% discount
Cresta Stripe Shoes,Shoes,Cresta,Men,Navy,41,94.99,0.063,dead_stock,50,Urgent clearance — 50% discount
Circular Half-Zip Polo,Polo,Circular,Women,Green Lichen,S,104.99,0.067,dead_stock,50,Urgent clearance — 50% discount
Circular Pants,Pants,Circular,Women,Petit Four,L,150.99,0.068,dead_stock,50,Urgent clearance — 50% discount
Rainforest Polo,Polo,Rainforest,Men,White Whisper,M,89.99,0.069,dead_stock,50,Urgent clearance — 50% discount
Box Logo Polo,Polo,Box Logo,Women,Burgundy,L,82.99,0.069,dead_stock,50,Urgent clearance — 50% discount
Rainforest Logo T-Shirt,T-Shirt,Rainforest,Men,Pale Mint,XXL,71.99,0.071,dead_stock,50,Urgent clearance — 50% discount
Patch Stretch Shorts,Shorts,Patch,Men,Yellow Sunshine,M,67.99,0.071,dead_stock,50,Urgent clearance — 50% discount
Box Logo Stripe Swimwear,Swimwear,Box Logo,Men,Old Rose,M,78.99,0.071,dead_stock,50,Urgent clearance — 50% discount
Patch Stretch Shorts,Shorts,Patch,Men,Yellow Sunshine,XXL,66.99,0.071,dead_stock,50,Urgent clearance — 50% discount
Iconic Logo T-Shirt,T-Shirt,Iconic,Women,Old Rose,L,39.99,0.071,dead_stock,50,Urgent clearance — 50% discount
Geographic Logo Shirt,Shirt,Geographic,Men,Orange Tangerine,M,94.99,0.071,dead_stock,50,Urgent clearance — 50% discount
Iconic Graphic Shorts,Shorts,Iconic,Women,Burgundy,L,59.99,0.072,dead_stock,50,Urgent clearance — 50% discount
