Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount
WP-00001,Morgex Quilted Pants,SS25,102.99,Pants,S,542,56,Morgex,Women,Forest Green,0
WM-00001,Tribe Quilted Shirt,SS25,109.99,Shirt,XL,443,155,Tribe,Women,Forest Green,0
WL-00001,Box Logo Stretch Sweatshirt,FS24,121.99,Sweatshirt,S,59,85,Box Logo,Women,Grey Melange,20
S-00001,Morgex Print T-Shirt,FS24,39.99,T-Shirt,L,35,305,Morgex,Men,White Whisper,25
P-00001,Tribe Graphic Pants,SS25,118.99,Pants,XXL,63,58,Tribe,Men,Green Lichen,0
W\00001,Box Logo Quilted Shoes,FS24,115.99,Shoes,38,49,264,Box Logo,Women,Burgundy,15
WP-00002,Geographic Stripe Pants,SS25,148.99,Pants,S,144,172,Geographic,Women,Petit Four,0
P-00002,Patch Stripe Pants,SS25,129.99,Pants,XS,288,26,Patch,Men,White Whisper,0
\00001,Slate Shoes,FS24,147.99,Shoes,45,122,189,Slate,Men,Beige Sand,20
N-00001,Circular Heritage Shorts,FS24,81.99,Shorts,S,18,115,Circular,Men,Bright Red,20
W\00002,Trail Half-Zip Shoes,FS24,137.99,Shoes,39,118,401,Trail,Women,Pale Mint,25
GlovesBoxLogo-0001,Box Logo Gloves,SS25,106.99,Accessories,One Size,347,41,Box Logo,Men,Pale Mint,0
M-00001,Morgex Quilted Shirt,SS25,97.99,Shirt,XL,183,162,Morgex,Men,Stone Grey,0
WL-00002,Patch Heritage Sweatshirt,SS25,135.99,Sweatshirt,XL,53,6,Patch,Women,Grey Melange,0
M-00002,Morgex Shirt,SS25,94.99,Shirt,S,291,246,Morgex,Men,Forest Green,0
ToteBagGeographic-0001,Geographic Tote Bag,FS24,40.99,Accessories,One Size,48,532,Geographic,Men,Bright White,40
WM-00002,Tribe Heritage Shirt,FS24,131.99,Shirt,XXL,148,421,Tribe,Women,Navy,50
WPS-00001,Box Logo Polo,SS25,78.99,Polo,XL,67,45,Box Logo,Women,Bright Red,0
WS-00001,Box Logo Graphic T-Shirt,SS25,49.99,T-Shirt,XL,453,84,Box Logo,Women,Old Rose,0
