test_set,expected_tier,predicted_tier,confidence,correct,sell_through,price,discount
A_obvious_dead_stock,dead_stock,average,0.7758,False,0.156,38.77,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7523,True,0.144,70.44,0.0
A_obvious_dead_stock,dead_stock,average,0.8181,False,0.15,112.18,0.0
A_obvious_dead_stock,dead_stock,average,0.849,False,0.151,105.1,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5079,True,0.142,47.85,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5349,True,0.126,33.08,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8256,True,0.042,58.77,0.0
A_obvious_dead_stock,dead_stock,average,0.7561,False,0.084,126.88,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8564,True,0.076,84.13,0.0
A_obvious_dead_stock,dead_stock,average,0.6598,False,0.011,89.99,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6327,True,0.107,112.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6261,True,0.106,74.12,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.503,True,0.015,36.07,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5914,True,0.05,122.66,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5815,True,0.143,107.84,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7329,True,0.014,28.34,0.0
A_obvious_dead_stock,dead_stock,average,0.6416,False,0.036,75.02,0.0
A_obvious_dead_stock,dead_stock,average,0.9121,False,0.117,95.07,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5111,True,0.129,125.42,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7342,True,0.086,55.83,0.0
A_obvious_dead_stock,dead_stock,average,0.8623,False,0.062,90.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.803,True,0.132,57.92,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5286,True,0.081,31.68,0.0
A_obvious_dead_stock,dead_stock,average,0.8093,False,0.028,90.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8276,True,0.11,53.86,0.0
A_obvious_dead_stock,dead_stock,average,0.9073,False,0.024,162.61,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5595,True,0.055,103.66,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5385,True,0.15,81.07,0.0
A_obvious_dead_stock,dead_stock,average,0.7131,False,0.058,127.05,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6128,True,0.166,63.22,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5861,True,0.147,166.37,0.0
A_obvious_dead_stock,dead_stock,average,0.6777,False,0.054,116.04,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5328,True,0.162,149.46,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7859,True,0.064,60.74,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5093,True,0.055,57.33,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5887,True,0.036,121.55,0.0
A_obvious_dead_stock,dead_stock,average,0.7412,False,0.142,36.2,0.0
A_obvious_dead_stock,dead_stock,average,0.645,False,0.049,80.69,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5421,True,0.109,128.59,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6375,True,0.032,82.16,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.585,True,0.123,59.53,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.733,True,0.104,40.98,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5461,True,0.111,88.98,0.0
A_obvious_dead_stock,dead_stock,average,0.6477,False,0.013,162.77,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.543,True,0.113,142.45,0.0
A_obvious_dead_stock,dead_stock,average,0.7568,False,0.082,98.7,0.0
A_obvious_dead_stock,dead_stock,average,0.8671,False,0.137,118.92,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6009,True,0.035,41.88,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8451,True,0.058,46.61,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8796,True,0.04,31.1,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5819,True,0.096,35.89,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5281,True,0.05,33.62,0.0
A_obvious_dead_stock,dead_stock,average,0.793,False,0.099,106.14,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.512,True,0.027,48.49,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5013,True,0.119,134.55,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6073,True,0.156,141.13,0.0
A_obvious_dead_stock,dead_stock,average,0.7309,False,0.091,89.77,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5849,True,0.066,98.31,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5368,True,0.092,65.81,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6455,True,0.147,52.62,0.0
A_obvious_dead_stock,dead_stock,average,0.8503,False,0.128,90.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5066,True,0.133,53.79,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8517,True,0.111,72.03,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8872,True,0.11,50.13,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.675,True,0.089,108.61,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5022,True,0.112,44.6,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.588,True,0.081,79.73,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.507,True,0.14,124.91,0.0
A_obvious_dead_stock,dead_stock,average,0.7195,False,0.169,90.33,0.0
A_obvious_dead_stock,dead_stock,average,0.7716,False,0.169,76.58,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6948,True,0.172,78.7,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5435,True,0.11,54.87,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6083,True,0.088,68.85,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8363,True,0.029,71.24,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8302,True,0.18,25.31,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5611,True,0.015,47.93,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6992,True,0.122,65.52,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.554,True,0.146,42.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5495,True,0.141,87.82,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.9042,True,0.031,34.03,0.0
A_obvious_dead_stock,dead_stock,average,0.6903,False,0.135,33.09,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.554,True,0.114,89.4,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6167,True,0.039,115.47,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5161,True,0.143,58.33,0.0
A_obvious_dead_stock,dead_stock,average,0.677,False,0.108,101.08,0.0
A_obvious_dead_stock,dead_stock,average,0.6584,False,0.096,45.93,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8923,True,0.062,51.11,0.0
A_obvious_dead_stock,dead_stock,average,0.7196,False,0.079,66.46,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7903,True,0.091,56.73,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5301,True,0.12,78.07,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.568,True,0.116,101.56,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5194,True,0.167,86.58,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5991,True,0.094,138.61,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5801,True,0.058,22.77,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.525,True,0.151,30.28,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6317,True,0.03,110.03,0.0
A_obvious_dead_stock,dead_stock,average,0.8201,False,0.127,124.87,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.58,True,0.046,50.42,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.834,True,0.105,129.45,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.534,True,0.077,102.4,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7685,True,0.041,112.04,0.0
A_obvious_dead_stock,dead_stock,average,0.8559,False,0.093,100.43,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5707,True,0.118,139.04,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5451,True,0.072,61.73,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5724,True,0.155,133.79,0.0
A_obvious_dead_stock,dead_stock,average,0.6654,False,0.068,84.0,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.61,True,0.117,48.34,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5071,True,0.168,81.23,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6166,True,0.13,61.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5445,True,0.139,69.09,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8622,True,0.029,84.66,0.0
A_obvious_dead_stock,dead_stock,average,0.8832,False,0.175,152.32,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7201,True,0.031,53.85,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8167,True,0.089,178.83,0.0
A_obvious_dead_stock,dead_stock,average,0.8177,False,0.146,72.21,0.0
A_obvious_dead_stock,dead_stock,average,0.6808,False,0.018,37.44,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7352,True,0.136,84.61,0.0
A_obvious_dead_stock,dead_stock,average,0.6731,False,0.156,123.52,0.0
A_obvious_dead_stock,dead_stock,average,0.7872,False,0.162,132.1,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6347,True,0.155,37.39,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5159,True,0.042,124.32,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.519,True,0.18,84.21,0.0
A_obvious_dead_stock,dead_stock,average,0.8184,False,0.129,129.87,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.838,True,0.033,59.87,0.0
A_obvious_dead_stock,dead_stock,average,0.7347,False,0.118,136.25,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8058,True,0.102,70.07,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8234,True,0.1,86.35,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.549,True,0.051,61.97,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6689,True,0.145,41.22,0.0
A_obvious_dead_stock,dead_stock,average,0.7266,False,0.125,179.57,0.0
A_obvious_dead_stock,dead_stock,average,0.7262,False,0.027,144.96,0.0
A_obvious_dead_stock,dead_stock,average,0.9354,False,0.016,134.63,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5845,True,0.087,31.3,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5948,True,0.075,32.22,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8479,True,0.081,55.76,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7028,True,0.096,20.05,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5979,True,0.054,167.29,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7585,True,0.049,154.65,0.0
A_obvious_dead_stock,dead_stock,average,0.8395,False,0.036,156.91,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.9584,True,0.042,40.36,0.0
A_obvious_dead_stock,dead_stock,average,0.7777,False,0.11,145.53,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.623,True,0.038,50.95,0.0
A_obvious_dead_stock,dead_stock,average,0.9091,False,0.113,111.8,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6746,True,0.146,35.91,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5101,True,0.015,53.11,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5231,True,0.13,116.25,0.0
A_obvious_dead_stock,dead_stock,average,0.7163,False,0.034,86.29,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5292,True,0.011,179.33,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5287,True,0.16,124.86,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5416,True,0.111,83.53,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5256,True,0.049,109.78,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.8019,True,0.077,72.13,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5677,True,0.081,148.83,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.813,True,0.079,46.0,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5923,True,0.173,87.46,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6907,True,0.046,65.62,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6017,True,0.136,70.67,0.0
A_obvious_dead_stock,dead_stock,average,0.7781,False,0.164,54.17,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6392,True,0.014,44.86,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7243,True,0.077,86.62,0.0
A_obvious_dead_stock,dead_stock,average,0.6937,False,0.169,110.08,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6037,True,0.032,99.7,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5328,True,0.027,34.86,0.0
A_obvious_dead_stock,dead_stock,average,0.8252,False,0.042,94.14,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5273,True,0.173,104.06,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.7081,True,0.06,35.04,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5029,True,0.172,49.64,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5155,True,0.026,118.69,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5703,True,0.037,120.25,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6497,True,0.073,68.87,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.6155,True,0.031,48.82,0.0
A_obvious_dead_stock,dead_stock,average,0.8159,False,0.041,139.24,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5446,True,0.159,62.56,0.0
A_obvious_dead_stock,dead_stock,dead_stock,0.5893,True,0.037,97.13,0.0
A_obvious_dead_stock,dead_stock,average,0.6868,False,0.1,114.33,0.0
